Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom_Complert,Nascut_a_Espanya,Salari numeric,naixament,Edat,increment,Salari actualitzat
Tomás,Gómez,Argentina,Còrdova,19,1,1996,Home,1.104 €,Sí,Grup A,Tomás Gómez,No,1104,1996-01-19,29,5%,1159.2
Florencia,Gómez,Argentina,Còrdova,8,7,1984,,1.594 €,No,Grup A,Florencia Gómez,No,1594,1984-07-08,41,5%,1673.7
Lucía,Fernández Álvarez,Argentina,Còrdova,11,3,1973,Dona,684 €,Sí,Grup A,Lucía Fernández Álvarez,No,684,1973-03-11,52,5%,718.2
Tomás,Fernández Fernández,Argentina,Còrdova,13,6,1964,Home,1.039 €,No,Grup A,Tomás Fernández Fernández,No,1039,1964-06-13,61,5%,1090.95
Valentina,Gutiérrez Castro,Colòmbia,Bogotà,2,1,2001,Altres,1.064 €,No,Grup A,Valentina Gutiérrez Castro,No,1064,2001-01-02,24,5%,1117.2
Felipe,Torres,Colòmbia,Bogotà,19,3,1970,Home,1.240 €,Sí,Grup A,Felipe Torres,No,1240,1970-03-19,55,5%,1302.0
Felipe,Gutiérrez Torres,Colòmbia,Bogotà,25,10,2004,Home,1.376 €,No,Grup A,Felipe Gutiérrez Torres,No,1376,2004-10-25,21,5%,1444.8
Laura,Castro Gutiérrez,Colòmbia,Bogotà,18,2,1950,Dona,995 €,No,Grup A,Laura Castro Gutiérrez,No,995,1950-02-18,75,5%,1044.75
Daniel,Castro Torres,Colòmbia,Bogotà,5,4,1992,Home,1.010 €,Sí,Grup A,Daniel Castro Torres,No,1010,1992-04-05,33,5%,1060.5
Daniel,Rojas Torres,Colòmbia,Bogotà,20,8,1985,Home,1.457 €,Sí,Grup A,Daniel Rojas Torres,No,1457,1985-08-20,40,5%,1529.85
Santiago,Rojas,Colòmbia,Bogotà,5,4,1987,Home,829 €,No,Grup A,Santiago Rojas,No,829,1987-04-05,38,5%,870.45
Valentina,Torres Torres,Colòmbia,Medellín,24,7,1951,,1.252 €,No,Grup A,Valentina Torres Torres,No,1252,1951-07-24,74,5%,1314.6
Daniela,Castro Castro,Colòmbia,Medellín,25,12,1980,Dona,1.167 €,No,Grup A,Daniela Castro Castro,No,1167,1980-12-25,44,5%,1225.35
Daniela,Torres,Colòmbia,Medellín,17,5,1970,Dona,1.064 €,Sí,Grup A,Daniela Torres,No,1064,1970-05-17,55,5%,1117.2
Sara,Torres Castro,Colòmbia,Medellín,8,8,1987,Dona,1.045 €,No,Grup A,Sara Torres Castro,No,1045,1987-08-08,38,5%,1097.25
Andrés,Castro,Colòmbia,Medellín,8,3,2000,Altres,996 €,No,Grup A,Andrés Castro,No,996,2000-03-08,25,5%,1045.8
Laura,Rojas,Colòmbia,Medellín,9,5,1969,Dona,988 €,No,Grup A,Laura Rojas,No,988,1969-05-09,56,5%,1037.4
Laura,Castro,Colòmbia,Medellín,19,6,1958,Dona,1.484 €,No,Grup A,Laura Castro,No,1484,1958-06-19,67,5%,1558.2
Daniel,Rojas Castro,Colòmbia,Medellín,7,10,1952,Home,799 €,Sí,Grup A,Daniel Rojas Castro,No,799,1952-10-07,73,5%,838.95
Daniel,Castro,Colòmbia,Medellín,13,10,1956,Home,1.207 €,Sí,Grup A,Daniel Castro,No,1207,1956-10-13,69,5%,1267.35
Andrés,Torres,Colòmbia,Medellín,13,1,1967,Home,1.567 €,No,Grup A,Andrés Torres,No,1567,1967-01-13,58,5%,1645.35
Valentina,Castro Rojas,Colòmbia,Medellín,8,12,1986,Dona,817 €,Sí,Grup A,Valentina Castro Rojas,No,817,1986-12-08,38,5%,857.85
Valentina,Torres,Colòmbia,Medellín,12,7,1981,Dona,859 €,Sí,Grup A,Valentina Torres,No,859,1981-07-12,44,5%,901.95
Felipe,Gutiérrez,Colòmbia,Medellín,13,11,1989,Home,1.275 €,No,Grup A,Felipe Gutiérrez,No,1275,1989-11-13,35,5%,1338.75
Felipe,Gutiérrez,Colòmbia,Medellín,17,9,1953,Home,1.142 €,Sí,Grup A,Felipe Gutiérrez,No,1142,1953-09-17,72,5%,1199.1
Clara,Sánchez Martínez,Espanya,Barcelona,18,3,1996,Dona,1.253 €,Sí,Grup A,Clara Sánchez Martínez,Sí,1253,1996-03-18,29,5%,1315.65
Toni,Sánchez García,Espanya,Barcelona,9,8,1999,Home,1.043 €,No,Grup A,Toni Sánchez García,Sí,1043,1999-08-09,26,5%,1095.15
Toni,Martínez,Espanya,Barcelona,16,5,1964,Home,891 €,No,Grup A,Toni Martínez,Sí,891,1964-05-16,61,5%,935.55
Oriol,Sánchez,Espanya,Barcelona,27,7,1965,Home,1.250 €,No,Grup A,Oriol Sánchez,Sí,1250,1965-07-27,60,5%,1312.5
Núria,Castells,Espanya,Barcelona,2,7,2005,Dona,1.344 €,Sí,Grup A,Núria Castells,Sí,1344,2005-07-02,20,5%,1411.2
Oriol,López Martínez,Espanya,Barcelona,25,6,1952,Home,1.019 €,Sí,Grup A,Oriol López Martínez,Sí,1019,1952-06-25,73,5%,1069.95
Jordi,Romero,Espanya,Barcelona,27,8,1968,Home,808 €,No,Grup A,Jordi Romero,Sí,808,1968-08-27,57,5%,848.4
Toni,López Sánchez,Espanya,Barcelona,25,2,1975,Home,990 €,No,Grup A,Toni López Sánchez,Sí,990,1975-02-25,50,5%,1039.5
Joan,Castells,Espanya,Barcelona,10,12,1975,Home,1.667 €,Sí,Grup A,Joan Castells,Sí,1667,1975-12-10,49,5%,1750.35
Arnau,Sánchez López,Espanya,Barcelona,28,6,1960,Home,1.116 €,No,Grup A,Arnau Sánchez López,Sí,1116,1960-06-28,65,5%,1171.8
Eva,Martínez,Espanya,Barcelona,11,9,1974,Dona,783 €,No,Grup A,Eva Martínez,Sí,783,1974-09-11,51,5%,822.15
Joan,Romero Romero,Espanya,Barcelona,21,2,1999,Home,1.543 €,Sí,Grup A,Joan Romero Romero,Sí,1543,1999-02-21,26,5%,1620.15
Anna,Sánchez,Espanya,Barcelona,17,7,1984,Altres,1.438 €,Sí,Grup A,Anna Sánchez,Sí,1438,1984-07-17,41,5%,1509.9
Núria,Ferrer,Espanya,Barcelona,18,4,1957,,1.396 €,Sí,Grup A,Núria Ferrer,Sí,1396,1957-04-18,68,5%,1465.8
Marc,Ferrer Castells,Espanya,Barcelona,25,8,2002,Home,1.672 €,No,Grup A,Marc Ferrer Castells,Sí,1672,2002-08-25,23,5%,1755.6
Marc,García,Espanya,Barcelona,23,7,1998,Home,1.341 €,Sí,Grup A,Marc García,Sí,1341,1998-07-23,27,5%,1408.05
Joan,García,Espanya,Barcelona,24,12,1957,Home,1.558 €,Sí,Grup A,Joan García,Sí,1558,1957-12-24,67,5%,1635.9
Marc,Martínez Martínez,Espanya,Barcelona,6,4,2001,,1.105 €,Sí,Grup A,Marc Martínez Martínez,Sí,1105,2001-04-06,24,5%,1160.25
Toni,Romero,Espanya,Barcelona,9,12,1989,Home,1.659 €,Sí,Grup A,Toni Romero,Sí,1659,1989-12-09,35,5%,1741.95
Oriol,García Castells,Espanya,Barcelona,18,6,1955,Home,1.212 €,No,Grup A,Oriol García Castells,Sí,1212,1955-06-18,70,5%,1272.6
Carla,López,Espanya,Barcelona,18,7,1965,Dona,1.159 €,Sí,Grup A,Carla López,Sí,1159,1965-07-18,60,5%,1216.95
Laia,Ferrer,Espanya,Barcelona,23,11,1972,Dona,940 €,No,Grup A,Laia Ferrer,Sí,940,1972-11-23,52,5%,987.0
Anna,Castells García,Espanya,Barcelona,22,10,1952,Dona,698 €,No,Grup A,Anna Castells García,Sí,698,1952-10-22,73,5%,732.9
Oriol,Ferrer Martínez,Espanya,Barcelona,26,7,1950,Home,954 €,No,Grup A,Oriol Ferrer Martínez,Sí,954,1950-07-26,75,5%,1001.7
Jordi,Sánchez,Espanya,Barcelona,18,6,1981,Home,800 €,Sí,Grup A,Jordi Sánchez,Sí,800,1981-06-18,44,5%,840.0
Jordi,Sánchez Martínez,Espanya,Barcelona,6,11,1998,Home,1.095 €,No,Grup A,Jordi Sánchez Martínez,Sí,1095,1998-11-06,26,5%,1149.75
Marta,Ferrer,Espanya,Barcelona,28,6,2001,Dona,1.303 €,Sí,Grup A,Marta Ferrer,Sí,1303,2001-06-28,24,5%,1368.15
Núria,López Romero,Espanya,Barcelona,17,9,1957,Dona,1.047 €,No,Grup A,Núria López Romero,Sí,1047,1957-09-17,68,5%,1099.35
Laia,Martínez,Espanya,Barcelona,22,1,1951,Dona,1.188 €,Sí,Grup A,Laia Martínez,Sí,1188,1951-01-22,74,5%,1247.4
Marc,Ferrer Sánchez,Espanya,Barcelona,15,7,1977,Home,1.674 €,No,Grup A,Marc Ferrer Sánchez,Sí,1674,1977-07-15,48,5%,1757.7
Núria,García Martínez,Espanya,Barcelona,26,5,2005,Dona,1.320 €,Sí,Grup A,Núria García Martínez,Sí,1320,2005-05-26,20,5%,1386.0
Carla,López López,Espanya,Barcelona,7,3,1956,Dona,812 €,Sí,Grup A,Carla López López,Sí,812,1956-03-07,69,5%,852.6
Oriol,García Ferrer,Espanya,Barcelona,9,12,2003,Home,1.603 €,Sí,Grup A,Oriol García Ferrer,Sí,1603,2003-12-09,21,5%,1683.15
Carla,Ferrer,Espanya,Barcelona,27,10,1987,Dona,836 €,No,Grup A,Carla Ferrer,Sí,836,1987-10-27,38,5%,877.8
Arnau,López Martínez,Espanya,Barcelona,15,11,1972,Home,1.587 €,No,Grup A,Arnau López Martínez,Sí,1587,1972-11-15,52,5%,1666.35
Laia,Martínez,Espanya,Barcelona,11,2,1951,Dona,1.306 €,No,Grup A,Laia Martínez,Sí,1306,1951-02-11,74,5%,1371.3
Laia,Martínez Romero,Espanya,Barcelona,5,9,1958,Dona,1.045 €,No,Grup A,Laia Martínez Romero,Sí,1045,1958-09-05,67,5%,1097.25
Carla,Romero López,Espanya,Barcelona,23,5,2002,Dona,776 €,Sí,Grup A,Carla Romero López,Sí,776,2002-05-23,23,5%,814.8
Carla,García,Espanya,Barcelona,25,10,1952,Dona,950 €,No,Grup A,Carla García,Sí,950,1952-10-25,73,5%,997.5
Clara,Castells Romero,Espanya,Barcelona,4,1,1999,Dona,1.392 €,Sí,Grup A,Clara Castells Romero,Sí,1392,1999-01-04,26,5%,1461.6
Pau,Castells,Espanya,Barcelona,1,7,1972,Home,1.006 €,No,Grup A,Pau Castells,Sí,1006,1972-07-01,53,5%,1056.3
Anna,Castells,Espanya,Barcelona,2,1,1951,Dona,919 €,No,Grup A,Anna Castells,Sí,919,1951-01-02,74,5%,964.95
Núria,Ferrer,Espanya,Barcelona,27,10,1977,Dona,1.123 €,No,Grup A,Núria Ferrer,Sí,1123,1977-10-27,48,5%,1179.15
Toni,López,Espanya,Barcelona,27,9,1979,,861 €,No,Grup A,Toni López,Sí,861,1979-09-27,46,5%,904.05
Jordi,Castells,Espanya,Barcelona,19,7,1978,Home,1.541 €,No,Grup A,Jordi Castells,Sí,1541,1978-07-19,47,5%,1618.05
Jordi,Ferrer,Espanya,Barcelona,28,6,2002,Home,961 €,No,Grup A,Jordi Ferrer,Sí,961,2002-06-28,23,5%,1009.05
Pau,Castells,Espanya,Barcelona,14,9,1991,Home,1.564 €,No,Grup A,Pau Castells,Sí,1564,1991-09-14,34,5%,1642.2
Joan,Martínez Castells,Espanya,Barcelona,22,7,1987,Home,1.165 €,No,Grup A,Joan Martínez Castells,Sí,1165,1987-07-22,38,5%,1223.25
Toni,Ferrer,Espanya,Barcelona,24,8,1972,Home,1.667 €,Sí,Grup A,Toni Ferrer,Sí,1667,1972-08-24,53,5%,1750.35
Jordi,García,Espanya,Barcelona,3,1,1975,Home,966 €,Sí,Grup A,Jordi García,Sí,966,1975-01-03,50,5%,1014.3
Arnau,Sánchez,Espanya,Barcelona,16,12,1998,Home,1.435 €,No,Grup A,Arnau Sánchez,Sí,1435,1998-12-16,26,5%,1506.75
Joan,Romero Martínez,Espanya,Barcelona,2,11,1973,Home,1.546 €,Sí,Grup A,Joan Romero Martínez,Sí,1546,1973-11-02,52,5%,1623.3
Marta,Castells López,Espanya,Barcelona,9,6,1985,Dona,1.438 €,No,Grup A,Marta Castells López,Sí,1438,1985-06-09,40,5%,1509.9
Pau,Ferrer Martínez,Espanya,Barcelona,24,12,1964,Home,853 €,No,Grup A,Pau Ferrer Martínez,Sí,853,1964-12-24,60,5%,895.65
Laia,Romero Martínez,Espanya,Barcelona,28,5,1964,Dona,1.015 €,No,Grup A,Laia Romero Martínez,Sí,1015,1964-05-28,61,5%,1065.75
Marc,Martínez Castells,Espanya,Barcelona,13,5,1979,,1.473 €,No,Grup A,Marc Martínez Castells,Sí,1473,1979-05-13,46,5%,1546.65
Pau,Castells Martínez,Espanya,Barcelona,3,1,1985,Home,1.242 €,No,Grup A,Pau Castells Martínez,Sí,1242,1985-01-03,40,5%,1304.1
Anna,Castells Ferrer,Espanya,Barcelona,8,1,1983,Dona,1.494 €,Sí,Grup A,Anna Castells Ferrer,Sí,1494,1983-01-08,42,5%,1568.7
Toni,Romero,Espanya,Barcelona,7,5,1990,Home,1.101 €,No,Grup A,Toni Romero,Sí,1101,1990-05-07,35,5%,1156.05
Joan,López,Espanya,Barcelona,22,10,1964,Home,1.623 €,No,Grup A,Joan López,Sí,1623,1964-10-22,61,5%,1704.15
Eva,Castells Romero,Espanya,Barcelona,13,2,1980,Altres,931 €,No,Grup A,Eva Castells Romero,Sí,931,1980-02-13,45,5%,977.55
Clara,Castells,Espanya,Barcelona,17,7,1953,Dona,778 €,No,Grup A,Clara Castells,Sí,778,1953-07-17,72,5%,816.9
Joan,Romero Romero,Espanya,Barcelona,3,11,1995,Home,1.108 €,Sí,Grup A,Joan Romero Romero,Sí,1108,1995-11-03,30,5%,1163.4
Clara,Sánchez,Espanya,Barcelona,3,10,1985,Dona,1.431 €,No,Grup A,Clara Sánchez,Sí,1431,1985-10-03,40,5%,1502.55
Núria,López,Espanya,Barcelona,28,5,1961,Dona,797 €,Sí,Grup A,Núria López,Sí,797,1961-05-28,64,5%,836.85
Eva,García,Espanya,Barcelona,27,10,1960,Dona,724 €,Sí,Grup A,Eva García,Sí,724,1960-10-27,65,5%,760.2
Carla,Castells Castells,Espanya,Barcelona,27,3,1977,Dona,1.429 €,No,Grup A,Carla Castells Castells,Sí,1429,1977-03-27,48,5%,1500.45
Marta,Romero,Espanya,Barcelona,8,4,1957,Dona,690 €,No,Grup A,Marta Romero,Sí,690,1957-04-08,68,5%,724.5
Toni,Martínez Castells,Espanya,Barcelona,23,10,1957,Home,1.377 €,No,Grup A,Toni Martínez Castells,Sí,1377,1957-10-23,68,5%,1445.85
Carla,Martínez Castells,Espanya,Barcelona,21,10,1980,Dona,755 €,No,Grup A,Carla Martínez Castells,Sí,755,1980-10-21,45,5%,792.75
Oriol,López Romero,Espanya,Barcelona,22,5,1983,Home,1.135 €,Sí,Grup A,Oriol López Romero,Sí,1135,1983-05-22,42,5%,1191.75
Carla,Ferrer,Espanya,Barcelona,13,12,1969,Dona,911 €,No,Grup A,Carla Ferrer,Sí,911,1969-12-13,55,5%,956.55
Laia,Sánchez Martínez,Espanya,Barcelona,10,2,1971,Dona,1.427 €,No,Grup A,Laia Sánchez Martínez,Sí,1427,1971-02-10,54,5%,1498.35
Oriol,Castells,Espanya,Barcelona,3,12,1987,Home,1.662 €,No,Grup A,Oriol Castells,Sí,1662,1987-12-03,37,5%,1745.1
Jordi,Romero García,Espanya,Barcelona,17,2,1972,Home,1.134 €,No,Grup A,Jordi Romero García,Sí,1134,1972-02-17,53,5%,1190.7
Oriol,Sánchez,Espanya,Barcelona,5,2,1986,Home,747 €,No,Grup A,Oriol Sánchez,Sí,747,1986-02-05,39,5%,784.35
Laia,Romero,Espanya,Barcelona,17,9,1966,Dona,952 €,Sí,Grup A,Laia Romero,Sí,952,1966-09-17,59,5%,999.6
Jordi,Romero,Espanya,Barcelona,6,9,1952,Home,1.673 €,Sí,Grup A,Jordi Romero,Sí,1673,1952-09-06,73,5%,1756.65
Oriol,García Castells,Espanya,Barcelona,8,5,1987,Home,917 €,No,Grup A,Oriol García Castells,Sí,917,1987-05-08,38,5%,962.85
Laia,López,Espanya,Barcelona,8,3,1970,Dona,1.315 €,No,Grup A,Laia López,Sí,1315,1970-03-08,55,5%,1380.75
Laia,Ferrer Martínez,Espanya,Barcelona,11,11,1980,Dona,682 €,No,Grup A,Laia Ferrer Martínez,Sí,682,1980-11-11,44,5%,716.1
Jordi,Sánchez,Espanya,Bilbao,16,8,1962,Home,742 €,No,Grup A,Jordi Sánchez,Sí,742,1962-08-16,63,5%,779.1
Anna,Martínez Martínez,Espanya,Bilbao,26,9,1972,Dona,780 €,No,Grup A,Anna Martínez Martínez,Sí,780,1972-09-26,53,5%,819.0
Toni,Sánchez García,Espanya,Bilbao,28,2,2000,Home,1.381 €,No,Grup A,Toni Sánchez García,Sí,1381,2000-02-28,25,5%,1450.05
Anna,Ferrer Sánchez,Espanya,Bilbao,21,10,1982,Dona,1.323 €,No,Grup A,Anna Ferrer Sánchez,Sí,1323,1982-10-21,43,5%,1389.15
Clara,Sánchez,Espanya,Bilbao,1,10,1965,Dona,817 €,Sí,Grup A,Clara Sánchez,Sí,817,1965-10-01,60,5%,857.85
Anna,Castells,Espanya,Bilbao,20,3,1987,Dona,1.381 €,No,Grup A,Anna Castells,Sí,1381,1987-03-20,38,5%,1450.05
Laia,Martínez Ferrer,Espanya,Bilbao,19,10,1956,Dona,981 €,Sí,Grup A,Laia Martínez Ferrer,Sí,981,1956-10-19,69,5%,1030.05
Marta,Sánchez,Espanya,Bilbao,1,9,1972,Dona,1.154 €,No,Grup A,Marta Sánchez,Sí,1154,1972-09-01,53,5%,1211.7
Pau,Ferrer,Espanya,Bilbao,6,8,1964,Home,1.156 €,No,Grup A,Pau Ferrer,Sí,1156,1964-08-06,61,5%,1213.8
Clara,Castells García,Espanya,Bilbao,11,1,1964,Dona,1.100 €,Sí,Grup A,Clara Castells García,Sí,1100,1964-01-11,61,5%,1155.0
Jordi,Castells Ferrer,Espanya,Bilbao,23,2,1979,Home,1.219 €,No,Grup A,Jordi Castells Ferrer,Sí,1219,1979-02-23,46,5%,1279.95
Carla,Castells García,Espanya,Bilbao,7,1,1994,Dona,1.294 €,No,Grup A,Carla Castells García,Sí,1294,1994-01-07,31,5%,1358.7
Marta,Romero Sánchez,Espanya,Bilbao,19,7,1968,Dona,1.036 €,No,Grup A,Marta Romero Sánchez,Sí,1036,1968-07-19,57,5%,1087.8
Jordi,Sánchez,Espanya,Bilbao,5,3,1952,Home,1.249 €,No,Grup A,Jordi Sánchez,Sí,1249,1952-03-05,73,5%,1311.45
Marta,Martínez,Espanya,Bilbao,22,6,1973,Dona,818 €,No,Grup A,Marta Martínez,Sí,818,1973-06-22,52,5%,858.9
Jordi,Sánchez,Espanya,Bilbao,20,4,1993,Home,1.289 €,No,Grup A,Jordi Sánchez,Sí,1289,1993-04-20,32,5%,1353.45
Jordi,Castells,Espanya,Bilbao,1,6,1953,Home,1.326 €,Sí,Grup A,Jordi Castells,Sí,1326,1953-06-01,72,5%,1392.3
Marc,Martínez Martínez,Espanya,Bilbao,4,1,2001,Home,1.668 €,Sí,Grup A,Marc Martínez Martínez,Sí,1668,2001-01-04,24,5%,1751.4
Eva,López,Espanya,Bilbao,26,12,1964,Dona,1.214 €,No,Grup A,Eva López,Sí,1214,1964-12-26,60,5%,1274.7
Jordi,García,Espanya,Bilbao,11,1,1950,Home,994 €,No,Grup A,Jordi García,Sí,994,1950-01-11,75,5%,1043.7
Arnau,Ferrer Sánchez,Espanya,Bilbao,6,11,1969,Home,1.332 €,Sí,Grup A,Arnau Ferrer Sánchez,Sí,1332,1969-11-06,55,5%,1398.6
Anna,López,Espanya,Bilbao,17,6,1995,Dona,1.330 €,Sí,Grup A,Anna López,Sí,1330,1995-06-17,30,5%,1396.5
Jordi,Romero García,Espanya,Bilbao,19,12,1984,Home,1.535 €,Sí,Grup A,Jordi Romero García,Sí,1535,1984-12-19,40,5%,1611.75
Pau,Castells,Espanya,Bilbao,17,4,1952,,1.117 €,No,Grup A,Pau Castells,Sí,1117,1952-04-17,73,5%,1172.85
Marta,López,Espanya,Bilbao,24,7,1967,Dona,1.421 €,No,Grup A,Marta López,Sí,1421,1967-07-24,58,5%,1492.05
Núria,Ferrer,Espanya,Bilbao,17,3,1979,Dona,1.219 €,Sí,Grup A,Núria Ferrer,Sí,1219,1979-03-17,46,5%,1279.95
Joan,Ferrer,Espanya,Bilbao,21,5,1981,,1.408 €,No,Grup A,Joan Ferrer,Sí,1408,1981-05-21,44,5%,1478.4
Clara,Sánchez Romero,Espanya,Bilbao,16,3,2004,Dona,1.024 €,No,Grup A,Clara Sánchez Romero,Sí,1024,2004-03-16,21,5%,1075.2
Eva,Romero,Espanya,Bilbao,18,7,1967,Dona,1.322 €,No,Grup A,Eva Romero,Sí,1322,1967-07-18,58,5%,1388.1
Arnau,Sánchez,Espanya,Bilbao,23,1,1978,Home,1.107 €,No,Grup A,Arnau Sánchez,Sí,1107,1978-01-23,47,5%,1162.35
Núria,Martínez Martínez,Espanya,Bilbao,20,8,2002,Dona,1.006 €,No,Grup A,Núria Martínez Martínez,Sí,1006,2002-08-20,23,5%,1056.3
Anna,Ferrer Martínez,Espanya,Bilbao,15,10,1981,Dona,850 €,Sí,Grup A,Anna Ferrer Martínez,Sí,850,1981-10-15,44,5%,892.5
Joan,García,Espanya,Bilbao,23,6,1960,Home,826 €,No,Grup A,Joan García,Sí,826,1960-06-23,65,5%,867.3
Marc,Sánchez,Espanya,Bilbao,3,6,1996,Home,1.143 €,Sí,Grup A,Marc Sánchez,Sí,1143,1996-06-03,29,5%,1200.15
Jordi,Ferrer,Espanya,Bilbao,22,5,1960,Home,1.325 €,No,Grup A,Jordi Ferrer,Sí,1325,1960-05-22,65,5%,1391.25
Eva,Castells Romero,Espanya,Bilbao,25,6,1974,Dona,1.317 €,No,Grup A,Eva Castells Romero,Sí,1317,1974-06-25,51,5%,1382.85
Arnau,Martínez Romero,Espanya,Bilbao,26,8,1997,Home,1.430 €,No,Grup A,Arnau Martínez Romero,Sí,1430,1997-08-26,28,5%,1501.5
Toni,Ferrer,Espanya,Bilbao,7,4,1996,Altres,1.269 €,No,Grup A,Toni Ferrer,Sí,1269,1996-04-07,29,5%,1332.45
Laia,Castells Castells,Espanya,Bilbao,3,12,1968,,1.330 €,Sí,Grup A,Laia Castells Castells,Sí,1330,1968-12-03,56,5%,1396.5
Oriol,Romero,Espanya,Bilbao,28,3,1959,,913 €,Sí,Grup A,Oriol Romero,Sí,913,1959-03-28,66,5%,958.65
Arnau,Martínez,Espanya,Bilbao,13,8,1964,Home,1.321 €,No,Grup A,Arnau Martínez,Sí,1321,1964-08-13,61,5%,1387.05
Marc,García Romero,Espanya,Bilbao,25,1,2004,Home,1.086 €,No,Grup A,Marc García Romero,Sí,1086,2004-01-25,21,5%,1140.3
Anna,Ferrer Castells,Espanya,Bilbao,1,9,1953,Dona,1.162 €,No,Grup A,Anna Ferrer Castells,Sí,1162,1953-09-01,72,5%,1220.1
Laia,López López,Espanya,Bilbao,3,5,1997,Dona,1.057 €,Sí,Grup A,Laia López López,Sí,1057,1997-05-03,28,5%,1109.85
Marta,Castells López,Espanya,Bilbao,10,1,1964,Dona,1.166 €,Sí,Grup A,Marta Castells López,Sí,1166,1964-01-10,61,5%,1224.3
Eva,García,Espanya,Bilbao,17,3,1997,Dona,1.034 €,No,Grup A,Eva García,Sí,1034,1997-03-17,28,5%,1085.7
Carla,Castells Ferrer,Espanya,Bilbao,20,7,1952,Dona,1.331 €,No,Grup A,Carla Castells Ferrer,Sí,1331,1952-07-20,73,5%,1397.55
Joan,Sánchez,Espanya,Bilbao,18,3,1982,Home,1.632 €,No,Grup A,Joan Sánchez,Sí,1632,1982-03-18,43,5%,1713.6
Jordi,Castells,Espanya,Bilbao,6,2,1963,Home,1.306 €,Sí,Grup A,Jordi Castells,Sí,1306,1963-02-06,62,5%,1371.3
Núria,Martínez,Espanya,Bilbao,10,3,1971,Dona,988 €,No,Grup A,Núria Martínez,Sí,988,1971-03-10,54,5%,1037.4
Núria,García,Espanya,Bilbao,15,6,2001,Dona,698 €,Sí,Grup A,Núria García,Sí,698,2001-06-15,24,5%,732.9
Marc,López García,Espanya,Bilbao,10,9,2005,Home,1.270 €,No,Grup A,Marc López García,Sí,1270,2005-09-10,20,5%,1333.5
Pau,López Ferrer,Espanya,Bilbao,13,4,1960,Home,1.129 €,Sí,Grup A,Pau López Ferrer,Sí,1129,1960-04-13,65,5%,1185.45
Jordi,López Romero,Espanya,Bilbao,17,12,1978,Home,1.016 €,No,Grup A,Jordi López Romero,Sí,1016,1978-12-17,46,5%,1066.8
