Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom_Complert,Nascut_a_Espanya,Salari numeric,naixament,Edat,increment,Salari actualitzat
Marta,Martínez,Espanya,Barcelona,4,7,1980,Dona,1.660 €,Sí,Grup B,Marta Martínez,Sí,1660,1980-07-04,45,"3,5%",1718.1
Toni,Romero García,Espanya,Barcelona,12,6,1963,Home,1.598 €,No,Grup B,Toni Romero García,Sí,1598,1963-06-12,62,"3,5%",1653.93
Joan,Romero López,Espanya,Barcelona,11,1,1950,Home,1.982 €,Sí,Grup B,Joan Romero López,Sí,1982,1950-01-11,75,"3,5%",2051.37
Pau,Martínez García,Espanya,Barcelona,15,11,1989,Home,2.254 €,No,Grup B,Pau Martínez García,Sí,2254,1989-11-15,35,"3,5%",2332.89
Carla,Romero,Espanya,Barcelona,17,6,1998,Dona,1.785 €,Sí,Grup B,Carla Romero,Sí,1785,1998-06-17,27,"3,5%",1847.47
Arnau,Martínez Sánchez,Espanya,Barcelona,20,6,1971,Home,1.373 €,No,Grup B,Arnau Martínez Sánchez,Sí,1373,1971-06-20,54,"3,5%",1421.05
Carla,Castells,Espanya,Barcelona,24,10,1962,Dona,1.248 €,Sí,Grup B,Carla Castells,Sí,1248,1962-10-24,63,"3,5%",1291.68
Núria,Romero,Espanya,Barcelona,24,12,1970,Dona,1.939 €,No,Grup B,Núria Romero,Sí,1939,1970-12-24,54,"3,5%",2006.86
Laia,Sánchez,Espanya,Barcelona,27,1,1965,Dona,1.876 €,Sí,Grup B,Laia Sánchez,Sí,1876,1965-01-27,60,"3,5%",1941.66
Marta,Sánchez Romero,Espanya,Barcelona,5,6,1993,Dona,1.320 €,No,Grup B,Marta Sánchez Romero,Sí,1320,1993-06-05,32,"3,5%",1366.2
Pau,Romero Martínez,Espanya,Barcelona,16,9,1974,Home,1.753 €,No,Grup B,Pau Romero Martínez,Sí,1753,1974-09-16,51,"3,5%",1814.35
Clara,García Ferrer,Espanya,Barcelona,10,10,1956,Dona,1.986 €,No,Grup B,Clara García Ferrer,Sí,1986,1956-10-10,69,"3,5%",2055.51
Anna,Ferrer,Espanya,Barcelona,25,11,1967,Dona,1.408 €,No,Grup B,Anna Ferrer,Sí,1408,1967-11-25,57,"3,5%",1457.28
Marta,López,Espanya,Barcelona,4,6,2002,Dona,1.170 €,Sí,Grup B,Marta López,Sí,1170,2002-06-04,23,"3,5%",1210.95
Anna,López Sánchez,Espanya,Barcelona,19,9,1963,Dona,1.444 €,Sí,Grup B,Anna López Sánchez,Sí,1444,1963-09-19,62,"3,5%",1494.54
Marc,Romero,Espanya,Barcelona,16,8,1986,Home,1.663 €,No,Grup B,Marc Romero,Sí,1663,1986-08-16,39,"3,5%",1721.2
Joan,López Castells,Espanya,Barcelona,1,4,1984,,1.555 €,Sí,Grup B,Joan López Castells,Sí,1555,1984-04-01,41,"3,5%",1609.42
Jordi,Romero,Espanya,Barcelona,12,12,1950,Home,2.253 €,Sí,Grup B,Jordi Romero,Sí,2253,1950-12-12,74,"3,5%",2331.86
Oriol,Martínez López,Espanya,Barcelona,24,6,1980,Home,2.064 €,No,Grup B,Oriol Martínez López,Sí,2064,1980-06-24,45,"3,5%",2136.24
Pau,Martínez Romero,Espanya,Barcelona,26,7,1986,Home,1.739 €,No,Grup B,Pau Martínez Romero,Sí,1739,1986-07-26,39,"3,5%",1799.86
Arnau,García Ferrer,Espanya,Barcelona,1,6,1979,Home,1.716 €,Sí,Grup B,Arnau García Ferrer,Sí,1716,1979-06-01,46,"3,5%",1776.06
Anna,Ferrer Sánchez,Espanya,Barcelona,25,8,1965,,1.437 €,Sí,Grup B,Anna Ferrer Sánchez,Sí,1437,1965-08-25,60,"3,5%",1487.29
Pau,Ferrer García,Espanya,Barcelona,21,6,1990,Home,1.459 €,Sí,Grup B,Pau Ferrer García,Sí,1459,1990-06-21,35,"3,5%",1510.06
Anna,García,Espanya,Barcelona,22,12,1999,Dona,1.501 €,No,Grup B,Anna García,Sí,1501,1999-12-22,25,"3,5%",1553.53
Eva,Martínez López,Espanya,Barcelona,11,4,1958,Dona,1.350 €,No,Grup B,Eva Martínez López,Sí,1350,1958-04-11,67,"3,5%",1397.25
Laia,Ferrer,Espanya,Barcelona,2,2,1953,Dona,1.393 €,Sí,Grup B,Laia Ferrer,Sí,1393,1953-02-02,72,"3,5%",1441.75
Toni,Romero,Espanya,Barcelona,23,8,2001,Home,2.187 €,No,Grup B,Toni Romero,Sí,2187,2001-08-23,24,"3,5%",2263.54
Marc,Romero Martínez,Espanya,Bilbao,4,7,1993,Home,2.027 €,Sí,Grup B,Marc Romero Martínez,Sí,2027,1993-07-04,32,"3,5%",2097.94
Marc,Ferrer Ferrer,Espanya,Bilbao,20,3,1974,Home,1.550 €,Sí,Grup B,Marc Ferrer Ferrer,Sí,1550,1974-03-20,51,"3,5%",1604.25
Pau,Ferrer,Espanya,Bilbao,25,4,1957,Home,1.319 €,Sí,Grup B,Pau Ferrer,Sí,1319,1957-04-25,68,"3,5%",1365.16
Eva,López,Espanya,Bilbao,16,12,1974,Dona,1.963 €,No,Grup B,Eva López,Sí,1963,1974-12-16,50,"3,5%",2031.7
Eva,Sánchez,Espanya,Bilbao,10,1,1977,Dona,1.887 €,No,Grup B,Eva Sánchez,Sí,1887,1977-01-10,48,"3,5%",1953.04
Joan,Ferrer,Espanya,Bilbao,13,11,1994,Home,1.521 €,No,Grup B,Joan Ferrer,Sí,1521,1994-11-13,30,"3,5%",1574.23
Núria,López,Espanya,Bilbao,1,1,1973,Dona,1.667 €,Sí,Grup B,Núria López,Sí,1667,1973-01-01,52,"3,5%",1725.34
Toni,Castells,Espanya,Bilbao,7,6,1990,Home,1.674 €,No,Grup B,Toni Castells,Sí,1674,1990-06-07,35,"3,5%",1732.59
Pau,López Martínez,Espanya,Bilbao,22,5,1967,Home,2.125 €,Sí,Grup B,Pau López Martínez,Sí,2125,1967-05-22,58,"3,5%",2199.38
Joan,Romero,Espanya,Bilbao,15,11,1987,Home,1.528 €,No,Grup B,Joan Romero,Sí,1528,1987-11-15,37,"3,5%",1581.48
Oriol,Sánchez Sánchez,Espanya,Bilbao,17,3,2002,Home,1.815 €,Sí,Grup B,Oriol Sánchez Sánchez,Sí,1815,2002-03-17,23,"3,5%",1878.52
Toni,García,Espanya,Bilbao,20,9,1990,Home,1.698 €,No,Grup B,Toni García,Sí,1698,1990-09-20,35,"3,5%",1757.43
Eva,García,Espanya,Bilbao,18,10,1962,,2.135 €,No,Grup B,Eva García,Sí,2135,1962-10-18,63,"3,5%",2209.72
Joan,Romero Sánchez,Espanya,Bilbao,24,7,1951,Home,1.493 €,Sí,Grup B,Joan Romero Sánchez,Sí,1493,1951-07-24,74,"3,5%",1545.25
Joan,Romero Martínez,Espanya,Bilbao,19,11,1954,Home,2.091 €,No,Grup B,Joan Romero Martínez,Sí,2091,1954-11-19,70,"3,5%",2164.18
Toni,Ferrer,Espanya,Bilbao,24,2,1964,Altres,2.140 €,No,Grup B,Toni Ferrer,Sí,2140,1964-02-24,61,"3,5%",2214.9
Oriol,Castells,Espanya,Bilbao,17,3,1965,Home,2.222 €,No,Grup B,Oriol Castells,Sí,2222,1965-03-17,60,"3,5%",2299.77
Anna,Ferrer Castells,Espanya,Bilbao,18,8,1992,Dona,1.317 €,Sí,Grup B,Anna Ferrer Castells,Sí,1317,1992-08-18,33,"3,5%",1363.09
Laia,Ferrer,Espanya,Bilbao,22,5,1978,Dona,1.218 €,No,Grup B,Laia Ferrer,Sí,1218,1978-05-22,47,"3,5%",1260.63
Marta,Romero,Espanya,Bilbao,8,7,1978,Dona,1.846 €,No,Grup B,Marta Romero,Sí,1846,1978-07-08,47,"3,5%",1910.61
Arnau,López López,Espanya,Bilbao,6,6,1991,Home,1.382 €,No,Grup B,Arnau López López,Sí,1382,1991-06-06,34,"3,5%",1430.37
Carla,López Sánchez,Espanya,Bilbao,11,10,1961,Dona,1.626 €,Sí,Grup B,Carla López Sánchez,Sí,1626,1961-10-11,64,"3,5%",1682.91
Toni,Ferrer,Espanya,Bilbao,5,9,1957,Home,1.415 €,No,Grup B,Toni Ferrer,Sí,1415,1957-09-05,68,"3,5%",1464.52
Anna,Castells Martínez,Espanya,Bilbao,6,3,1959,Dona,1.561 €,Sí,Grup B,Anna Castells Martínez,Sí,1561,1959-03-06,66,"3,5%",1615.63
Núria,Martínez Romero,Espanya,Bilbao,9,7,1965,Dona,1.619 €,Sí,Grup B,Núria Martínez Romero,Sí,1619,1965-07-09,60,"3,5%",1675.66
Joan,Romero Martínez,Espanya,Bilbao,24,12,1985,Home,1.764 €,No,Grup B,Joan Romero Martínez,Sí,1764,1985-12-24,39,"3,5%",1825.74
Arnau,Martínez,Espanya,Bilbao,25,4,1959,Home,1.372 €,Sí,Grup B,Arnau Martínez,Sí,1372,1959-04-25,66,"3,5%",1420.02
Carla,López,Espanya,Bilbao,7,7,2003,Dona,1.760 €,Sí,Grup B,Carla López,Sí,1760,2003-07-07,22,"3,5%",1821.6
Marta,García,Espanya,Bilbao,19,8,1950,Dona,1.431 €,No,Grup B,Marta García,Sí,1431,1950-08-19,75,"3,5%",1481.08
Oriol,Castells,Espanya,Bilbao,13,4,1972,Home,1.592 €,Sí,Grup B,Oriol Castells,Sí,1592,1972-04-13,53,"3,5%",1647.72
Toni,Ferrer,Espanya,Bilbao,20,2,1980,Home,1.454 €,No,Grup B,Toni Ferrer,Sí,1454,1980-02-20,45,"3,5%",1504.89
Laia,García Ferrer,Espanya,Bilbao,19,1,1970,Dona,1.765 €,No,Grup B,Laia García Ferrer,Sí,1765,1970-01-19,55,"3,5%",1826.77
Eva,Ferrer Romero,Espanya,Bilbao,19,5,1976,Dona,1.412 €,No,Grup B,Eva Ferrer Romero,Sí,1412,1976-05-19,49,"3,5%",1461.42
Anna,Castells García,Espanya,Bilbao,26,3,1950,Dona,1.465 €,Sí,Grup B,Anna Castells García,Sí,1465,1950-03-26,75,"3,5%",1516.27
Toni,Martínez,Espanya,Bilbao,5,7,1973,Home,1.643 €,Sí,Grup B,Toni Martínez,Sí,1643,1973-07-05,52,"3,5%",1700.5
Jordi,Romero,Espanya,Bilbao,17,11,1969,Home,1.358 €,No,Grup B,Jordi Romero,Sí,1358,1969-11-17,55,"3,5%",1405.53
Eva,López Martínez,Espanya,Bilbao,27,7,1998,Dona,1.334 €,No,Grup B,Eva López Martínez,Sí,1334,1998-07-27,27,"3,5%",1380.69
Laia,Castells,Espanya,Bilbao,20,11,2000,Dona,1.698 €,Sí,Grup B,Laia Castells,Sí,1698,2000-11-20,24,"3,5%",1757.43
Marc,Castells,Espanya,Bilbao,16,12,2002,Home,2.132 €,No,Grup B,Marc Castells,Sí,2132,2002-12-16,22,"3,5%",2206.62
Pau,Sánchez,Espanya,Bilbao,20,5,1994,Home,2.176 €,Sí,Grup B,Pau Sánchez,Sí,2176,1994-05-20,31,"3,5%",2252.16
Marta,García,Espanya,Bilbao,23,2,1999,Dona,1.580 €,Sí,Grup B,Marta García,Sí,1580,1999-02-23,26,"3,5%",1635.3
Joan,Romero Martínez,Espanya,Bilbao,16,2,1996,Home,1.849 €,No,Grup B,Joan Romero Martínez,Sí,1849,1996-02-16,29,"3,5%",1913.71
Oriol,Romero López,Espanya,Bilbao,3,5,1951,Home,2.046 €,No,Grup B,Oriol Romero López,Sí,2046,1951-05-03,74,"3,5%",2117.61
Laia,Castells,Espanya,Bilbao,23,4,1998,Dona,1.788 €,Sí,Grup B,Laia Castells,Sí,1788,1998-04-23,27,"3,5%",1850.58
Laia,Sánchez,Espanya,Bilbao,19,5,1970,Altres,1.987 €,Sí,Grup B,Laia Sánchez,Sí,1987,1970-05-19,55,"3,5%",2056.54
Eva,López Ferrer,Espanya,Bilbao,24,12,1952,Dona,2.016 €,No,Grup B,Eva López Ferrer,Sí,2016,1952-12-24,72,"3,5%",2086.56
Arnau,Romero,Espanya,Bilbao,18,11,1967,Home,1.696 €,No,Grup B,Arnau Romero,Sí,1696,1967-11-18,57,"3,5%",1755.36
Toni,Castells,Espanya,Bilbao,25,7,1966,Home,2.132 €,No,Grup B,Toni Castells,Sí,2132,1966-07-25,59,"3,5%",2206.62
Joan,Sánchez,Espanya,Bilbao,13,12,1974,Altres,1.817 €,No,Grup B,Joan Sánchez,Sí,1817,1974-12-13,50,"3,5%",1880.59
Jordi,García,Espanya,Bilbao,11,1,1970,Home,1.698 €,Sí,Grup B,Jordi García,Sí,1698,1970-01-11,55,"3,5%",1757.43
Marta,Romero,Espanya,Bilbao,25,7,1973,Dona,1.824 €,No,Grup B,Marta Romero,Sí,1824,1973-07-25,52,"3,5%",1887.84
Núria,Romero López,Espanya,Bilbao,15,6,1999,,1.636 €,Sí,Grup B,Núria Romero López,Sí,1636,1999-06-15,26,"3,5%",1693.26
Toni,Sánchez,Espanya,Bilbao,26,9,1992,Home,1.358 €,No,Grup B,Toni Sánchez,Sí,1358,1992-09-26,33,"3,5%",1405.53
Marc,Martínez,Espanya,Bilbao,7,7,1988,Home,1.965 €,No,Grup B,Marc Martínez,Sí,1965,1988-07-07,37,"3,5%",2033.77
Arnau,Ferrer,Espanya,Bilbao,20,5,1961,Home,1.345 €,No,Grup B,Arnau Ferrer,Sí,1345,1961-05-20,64,"3,5%",1392.07
Toni,Martínez,Espanya,Bilbao,25,12,1974,Home,1.351 €,No,Grup B,Toni Martínez,Sí,1351,1974-12-25,50,"3,5%",1398.28
Oriol,Sánchez,Espanya,Bilbao,11,9,1989,Home,2.115 €,Sí,Grup B,Oriol Sánchez,Sí,2115,1989-09-11,36,"3,5%",2189.02
Núria,García Ferrer,Espanya,Bilbao,11,4,1982,Dona,1.758 €,Sí,Grup B,Núria García Ferrer,Sí,1758,1982-04-11,43,"3,5%",1819.53
Núria,García López,Espanya,Madrid,8,6,1969,Dona,1.374 €,No,Grup B,Núria García López,Sí,1374,1969-06-08,56,"3,5%",1422.09
Pau,Martínez,Espanya,Madrid,17,8,1999,Home,1.971 €,No,Grup B,Pau Martínez,Sí,1971,1999-08-17,26,"3,5%",2039.98
Núria,Romero,Espanya,Madrid,26,10,1993,Dona,1.352 €,Sí,Grup B,Núria Romero,Sí,1352,1993-10-26,32,"3,5%",1399.32
Eva,Martínez,Espanya,Madrid,19,10,1974,,2.015 €,No,Grup B,Eva Martínez,Sí,2015,1974-10-19,51,"3,5%",2085.52
Pau,Martínez,Espanya,Madrid,14,2,1959,Home,2.100 €,No,Grup B,Pau Martínez,Sí,2100,1959-02-14,66,"3,5%",2173.5
Eva,Castells,Espanya,Madrid,9,7,1956,Dona,1.669 €,Sí,Grup B,Eva Castells,Sí,1669,1956-07-09,69,"3,5%",1727.41
Marta,Romero García,Espanya,Madrid,11,5,1973,Dona,1.929 €,No,Grup B,Marta Romero García,Sí,1929,1973-05-11,52,"3,5%",1996.51
Oriol,Ferrer Romero,Espanya,Madrid,9,2,1985,Home,1.970 €,No,Grup B,Oriol Ferrer Romero,Sí,1970,1985-02-09,40,"3,5%",2038.95
Carla,Sánchez,Espanya,Madrid,2,7,1990,Dona,1.522 €,Sí,Grup B,Carla Sánchez,Sí,1522,1990-07-02,35,"3,5%",1575.27
Laia,García,Espanya,Madrid,9,8,1991,Dona,1.495 €,No,Grup B,Laia García,Sí,1495,1991-08-09,34,"3,5%",1547.32
Toni,López,Espanya,Madrid,12,10,1964,Home,1.367 €,Sí,Grup B,Toni López,Sí,1367,1964-10-12,61,"3,5%",1414.84
Arnau,López,Espanya,Madrid,4,4,1994,Altres,1.803 €,No,Grup B,Arnau López,Sí,1803,1994-04-04,31,"3,5%",1866.1
Laia,López,Espanya,Madrid,21,4,1984,Dona,1.179 €,Sí,Grup B,Laia López,Sí,1179,1984-04-21,41,"3,5%",1220.26
Joan,García,Espanya,Madrid,22,10,2000,Home,2.067 €,No,Grup B,Joan García,Sí,2067,2000-10-22,25,"3,5%",2139.34
Jordi,Ferrer López,Espanya,Madrid,13,9,1955,Home,1.691 €,Sí,Grup B,Jordi Ferrer López,Sí,1691,1955-09-13,70,"3,5%",1750.18
Marta,López Sánchez,Espanya,Madrid,17,5,1992,Dona,1.871 €,Sí,Grup B,Marta López Sánchez,Sí,1871,1992-05-17,33,"3,5%",1936.48
Marc,Romero,Espanya,Madrid,2,8,1984,Home,1.635 €,No,Grup B,Marc Romero,Sí,1635,1984-08-02,41,"3,5%",1692.22
Marta,Ferrer,Espanya,Madrid,25,5,1976,Dona,1.922 €,No,Grup B,Marta Ferrer,Sí,1922,1976-05-25,49,"3,5%",1989.27
Eva,Castells Romero,Espanya,Madrid,24,1,1958,Altres,1.908 €,No,Grup B,Eva Castells Romero,Sí,1908,1958-01-24,67,"3,5%",1974.78
Anna,López,Espanya,Madrid,17,1,1964,Altres,1.303 €,No,Grup B,Anna López,Sí,1303,1964-01-17,61,"3,5%",1348.6
Laia,Castells Martínez,Espanya,Madrid,8,4,1975,Dona,1.442 €,No,Grup B,Laia Castells Martínez,Sí,1442,1975-04-08,50,"3,5%",1492.47
Arnau,Martínez,Espanya,Madrid,20,12,1999,Home,2.100 €,No,Grup B,Arnau Martínez,Sí,2100,1999-12-20,25,"3,5%",2173.5
Eva,Martínez,Espanya,Madrid,13,6,1994,Dona,1.149 €,No,Grup B,Eva Martínez,Sí,1149,1994-06-13,31,"3,5%",1189.21
Eva,Ferrer,Espanya,Madrid,22,5,1997,Dona,1.226 €,No,Grup B,Eva Ferrer,Sí,1226,1997-05-22,28,"3,5%",1268.91
Toni,Sánchez,Espanya,Madrid,6,3,1996,Home,2.052 €,No,Grup B,Toni Sánchez,Sí,2052,1996-03-06,29,"3,5%",2123.82
Laia,López,Espanya,Madrid,15,10,1978,Dona,1.447 €,Sí,Grup B,Laia López,Sí,1447,1978-10-15,47,"3,5%",1497.64
Arnau,Ferrer Romero,Espanya,Madrid,2,7,1975,Home,2.196 €,No,Grup B,Arnau Ferrer Romero,Sí,2196,1975-07-02,50,"3,5%",2272.86
Clara,López,Espanya,Madrid,12,5,1989,Dona,1.400 €,No,Grup B,Clara López,Sí,1400,1989-05-12,36,"3,5%",1449.0
Laia,Martínez,Espanya,Madrid,9,9,1977,Dona,2.053 €,No,Grup B,Laia Martínez,Sí,2053,1977-09-09,48,"3,5%",2124.86
Joan,Sánchez Sánchez,Espanya,Madrid,28,7,2005,,1.432 €,No,Grup B,Joan Sánchez Sánchez,Sí,1432,2005-07-28,20,"3,5%",1482.12
